payroll_batch_id,pay_period,employee_id,employee_name,department,employment_status,salary_inr,bonus_inr,total_payout_inr,bank_account,previous_bank_account,bank_account_changed,fraud_type,risk_level
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1030,Sana Sharma,Engineering,active,160000,0,160000,XXXXXX6989,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1031,Dev Bose,HR,active,65000,0,65000,XXXXXX8421,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1032,Varun Kapoor,HR,active,360000,0,360000,XXXXXX4149,,No,Large salary increase,High
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1033,Neha Gupta,Operations,active,55000,0,55000,XXXXXX6466,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1034,Kabir Gupta,Engineering,active,85000,0,85000,XXXXXX6393,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1035,Diya Joshi,HR,active,45000,0,45000,XXXXXX7338,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1036,Ishita Patel,Operations,active,95000,0,95000,XXXXXX9197,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1037,Aarav Reddy,Support,active,75000,0,75000,XXXXXX6593,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1038,Varun Singh,Marketing,active,125000,0,125000,XXXXXX7068,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1039,Sana Das,Marketing,active,140000,0,140000,XXXXXX6062,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1040,Rohan Sharma,Marketing,active,55000,650000,705000,XXXXXX2741,,No,Excessive unexplained bonus,High
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1041,Rahul Singh,Operations,active,140000,0,140000,XXXXXX5179,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1042,Ishita Bose,HR,active,125000,0,125000,XXXXXX4527,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1043,Riya Rao,Sales,active,45000,0,45000,XXXXXX2801,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1044,Aarav Nair,Marketing,active,95000,0,95000,XXXXXX8242,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1045,Ishita Sharma,Support,active,125000,0,125000,XXXXXX4821,,No,Shared bank account cluster,Critical
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1046,Aarav Verma,Support,active,125000,0,125000,XXXXXX4040,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1047,Ananya Joshi,Marketing,active,140000,0,140000,XXXXXX4016,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1048,Riya Kapoor,Finance,active,65000,0,65000,XXXXXX7160,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1049,Varun Kapoor,HR,active,85000,0,85000,XXXXXX6681,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1050,Kabir Gupta,Support,active,140000,0,140000,XXXXXX8460,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1051,Diya Mehta,Engineering,active,55000,0,55000,XXXXXX2879,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1052,Ananya Gupta,Finance,active,140000,0,140000,XXXXXX2877,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1053,Riya Kumar,Marketing,active,125000,0,125000,XXXXXX1466,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1054,Kabir Menon,Sales,active,75000,0,75000,XXXXXX4949,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1055,Aarav Nair,Sales,active,45000,0,45000,XXXXXX2136,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1056,Ananya Iyer,Sales,active,45000,0,45000,XXXXXX5716,,No,Duplicate employee/payment,Critical
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1056,Ananya Iyer,Marketing,active,45000,0,45000,XXXXXX5716,,No,Duplicate employee/payment,Critical
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1058,Karan Menon,Sales,active,65000,0,65000,XXXXXX1126,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1059,Rohan Verma,Marketing,active,140000,0,140000,XXXXXX1768,,No,None,Low
PAY-2026-08-03,2026-08-01 to 2026-08-31,EMP-1060,Diya Rao,Support,active,110000,0,110000,XXXXXX9929,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1061,Riya Joshi,Sales,active,85000,0,85000,XXXXXX8257,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1062,Arjun Mehta,Engineering,active,500000,0,500000,XXXXXX3647,,No,Suspicious round-number payment,High
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1063,Aarav Das,Sales,active,160000,0,160000,XXXXXX2506,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1064,Riya Kapoor,Support,active,55000,0,55000,XXXXXX9965,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1065,Vikram Rao,HR,active,125000,0,125000,XXXXXX8404,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1066,Vikram Sharma,Finance,active,65000,0,65000,XXXXXX6393,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1067,Rahul Gupta,Engineering,active,45000,0,45000,XXXXXX7373,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1068,Aarav Mehta,Finance,active,375000,0,375000,XXXXXX9906,,No,Unusually high salary,High
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1069,Meera Nair,Operations,active,65000,0,65000,XXXXXX4481,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1070,Riya Rao,Operations,active,110000,0,110000,XXXXXX3741,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1071,Varun Rao,Operations,active,55000,0,55000,XXXXXX8431,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1072,Karan Nair,Engineering,active,75000,0,75000,XXXXXX6869,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1073,Varun Nair,Support,active,75000,0,75000,XXXXXX1226,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1074,Dev Sharma,HR,active,65000,0,65000,XXXXXX5450,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1075,Dev Bose,Support,terminated,160000,0,160000,XXXXXX1391,,No,Payment to terminated employee,Critical
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1076,Aarav Singh,Support,active,55000,0,55000,XXXXXX9666,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1077,Riya Gupta,Sales,active,125000,0,125000,XXXXXX2547,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1078,Varun Kapoor,Marketing,active,55000,0,55000,XXXXXX2012,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1079,Diya Kumar,Finance,active,160000,0,160000,XXXXXX5318,,No,None,Low
PAY-2026-08-04,2026-08-01 to 2026-08-31,EMP-1080,Neha Gupta,Engineering,active,110000,0,110000,XXXXXX4128,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1081,Manav Patel,Operations,active,45000,0,45000,XXXXXX9917,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1082,Varun Das,Marketing,active,45000,0,45000,XXXXXX1925,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1083,Ishita Sharma,Marketing,active,55000,0,55000,XXXXXX7734,XXXXXX2291,Yes,Recent bank-account change,High
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1084,Sana Sharma,Engineering,active,160000,0,160000,XXXXXX4841,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1085,Karan Nair,Support,active,85000,0,85000,XXXXXX5849,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1086,Manav Rao,Support,active,140000,0,140000,XXXXXX3348,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1087,Rohan Menon,Support,active,75000,0,75000,XXXXXX3082,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1088,Neha Reddy,Finance,active,45000,0,45000,XXXXXX6901,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-9001,Ishita Verma,Finance,active,140000,0,140000,XXXXXX5487,,No,Suspicious/ghost employee ID,Critical
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1090,Aditya Mehta,Engineering,active,110000,0,110000,XXXXXX1265,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1091,Dev Verma,Operations,active,65000,0,65000,XXXXXX7263,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1092,Nisha Gupta,Finance,active,95000,0,95000,XXXXXX4821,,No,Shared bank account cluster,Critical
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1093,Varun Kapoor,Finance,active,110000,0,110000,XXXXXX4809,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1094,Rahul Joshi,Operations,active,110000,0,110000,XXXXXX1430,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1095,Aarav Mehta,Support,active,95000,0,95000,XXXXXX3420,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1096,Rahul Iyer,Operations,active,65000,0,65000,XXXXXX5088,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1097,Priya Reddy,Finance,active,55000,0,55000,XXXXXX3926,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1098,Sana Nair,HR,active,160000,0,160000,XXXXXX3431,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1099,Aarav Kumar,Engineering,active,85000,0,85000,XXXXXX9157,,No,None,Low
PAY-2026-08-05,2026-08-01 to 2026-08-31,EMP-1100,Riya Gupta,Sales,active,125000,0,125000,XXXXXX1939,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1101,Dev Das,HR,active,160000,0,160000,XXXXXX3065,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1102,Priya Das,Support,active,475000,250000,725000,XXXXXX6158,XXXXXX1942,Yes,Multiple anomalies: account change + salary spike + bonus,Critical
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1103,Dev Mehta,Marketing,active,160000,0,160000,XXXXXX3939,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1104,Kabir Verma,Operations,active,125000,0,125000,XXXXXX1650,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1105,Riya Rao,Engineering,active,420000,0,420000,XXXXXX6378,,No,Large salary increase,High
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1106,Dev Bose,Operations,active,160000,0,160000,XXXXXX6443,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1107,Manav Joshi,Finance,active,160000,0,160000,XXXXXX8326,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1108,Meera Kapoor,Operations,active,110000,0,110000,XXXXXX5171,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1109,Riya Sharma,Sales,active,45000,0,45000,XXXXXX4635,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1110,Neha Das,Finance,active,110000,0,110000,XXXXXX2849,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1111,Neha Sharma,Finance,active,45000,0,45000,XXXXXX8060,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1112,Rahul Bose,Finance,active,85000,0,85000,XXXXXX4414,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1113,Sana Iyer,Marketing,active,65000,0,65000,XXXXXX2873,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1114,Rahul Rao,HR,active,65000,800000,865000,XXXXXX3728,,No,Excessive unexplained bonus,High
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1115,Priya Joshi,Sales,active,95000,0,95000,XXXXXX1853,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1116,Riya Sharma,Engineering,active,95000,0,95000,XXXXXX5539,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1117,Aditya Das,Sales,active,55000,0,55000,XXXXXX5388,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1118,Aarav Bose,Engineering,active,750000,0,750000,XXXXXX4097,,No,Suspicious round-number payment,High
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1119,Sana Singh,Finance,active,55000,0,55000,XXXXXX4482,,No,None,Low
PAY-2026-08-06,2026-08-01 to 2026-08-31,EMP-1120,Riya Mehta,Operations,active,95000,0,95000,XXXXXX8183,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1121,Aarav Rao,Sales,active,65000,0,65000,XXXXXX4905,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1122,Kabir Nair,Sales,active,45000,0,45000,XXXXXX7274,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1123,Priya Iyer,HR,active,110000,0,110000,XXXXXX6990,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1124,Aarav Rao,HR,active,75000,0,75000,XXXXXX9735,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1125,Priya Patel,Finance,active,125000,0,125000,XXXXXX8146,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1126,Kabir Bose,Sales,active,140000,0,140000,XXXXXX4377,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1127,Varun Kumar,Operations,active,65000,0,65000,XXXXXX7314,,No,Bank account reused across employees,High
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1128,Nisha Singh,Engineering,active,55000,0,55000,XXXXXX1510,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1129,Meera Kapoor,Support,active,45000,0,45000,XXXXXX6774,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1130,Nisha Patel,Sales,terminated,160000,0,160000,XXXXXX4821,,No,Terminated employee + shared bank account,Critical
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1131,Priya Singh,Engineering,active,125000,0,125000,XXXXXX8465,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1132,Ishita Rao,Sales,active,45000,0,45000,XXXXXX1439,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1133,Riya Sharma,Engineering,active,75000,0,75000,XXXXXX1320,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1134,Rohan Sharma,HR,active,140000,0,140000,XXXXXX7770,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1135,Meera Das,Support,active,45000,0,45000,XXXXXX7410,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1136,Rahul Das,Support,active,75000,0,75000,XXXXXX2692,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1137,Meera Patel,Marketing,active,75000,0,75000,XXXXXX3428,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1138,Neha Sharma,HR,active,45000,0,45000,XXXXXX7558,,No,None,Low
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1139,Kabir Rao,Sales,active,125000,0,125000,XXXXXX4821,,No,Shared bank account cluster,Critical
PAY-2026-08-07,2026-08-01 to 2026-08-31,EMP-1140,Diya Bose,Engineering,active,45000,0,45000,XXXXXX8803,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1141,Aarav Patel,Marketing,active,140000,0,140000,XXXXXX5306,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1142,Aarav Das,Operations,active,55000,0,55000,XXXXXX5959,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1143,Rohan Patel,Operations,active,45000,0,45000,XXXXXX8826,XXXXXX3118,Yes,Recent bank-account change,High
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1144,Manav Verma,Support,active,125000,0,125000,XXXXXX2868,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1145,Ananya Singh,HR,active,75000,0,75000,XXXXXX4194,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-9002,Rahul Singh,Finance,active,95000,0,95000,XXXXXX6101,,No,Suspicious/ghost employee ID,Critical
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1147,Dev Iyer,Support,active,125000,0,125000,XXXXXX8068,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1148,Nisha Verma,Marketing,active,110000,0,110000,XXXXXX9439,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1149,Arjun Rao,Engineering,active,160000,0,160000,XXXXXX2900,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1150,Arjun Kumar,Finance,active,85000,0,85000,XXXXXX5548,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1151,Aarav Kumar,HR,active,85000,0,85000,XXXXXX5308,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1152,Vikram Verma,Sales,active,500000,0,500000,XXXXXX5945,,No,Unusually high salary,High
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1153,Ananya Verma,Support,active,95000,0,95000,XXXXXX9719,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1154,Manav Menon,HR,active,45000,0,45000,XXXXXX3924,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1155,Aditya Bose,Marketing,active,85000,0,85000,XXXXXX7212,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1156,Arjun Gupta,Sales,active,75000,0,75000,XXXXXX5803,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1157,Ananya Verma,Sales,active,55000,0,55000,XXXXXX3296,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1158,Meera Sharma,Operations,active,110000,0,110000,XXXXXX6607,,No,None,Low
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1159,Aditya Rao,Finance,active,125000,450000,575000,XXXXXX2057,,No,Excessive unexplained bonus,High
PAY-2026-08-08,2026-08-01 to 2026-08-31,EMP-1160,Varun Das,Support,active,45000,0,45000,XXXXXX9037,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1161,Arjun Reddy,Marketing,active,85000,0,85000,XXXXXX2406,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1162,Aarav Singh,Sales,active,65000,0,65000,XXXXXX2438,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1163,Karan Reddy,Engineering,active,160000,0,160000,XXXXXX9871,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1164,Varun Kumar,Finance,active,160000,0,160000,XXXXXX9695,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1165,Karan Rao,Support,active,300000,0,300000,XXXXXX2971,,No,Large salary increase,High
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1166,Nisha Iyer,HR,active,65000,0,65000,XXXXXX8736,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1167,Karan Mehta,Finance,active,55000,0,55000,XXXXXX8327,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1168,Arjun Joshi,Operations,active,95000,0,95000,XXXXXX7925,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1169,Rahul Bose,Marketing,active,45000,0,45000,XXXXXX7050,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1170,Diya Gupta,Engineering,active,125000,0,125000,XXXXXX3441,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1171,Varun Singh,Support,active,45000,0,45000,XXXXXX4890,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1172,Nisha Gupta,HR,active,95000,0,95000,XXXXXX6255,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1173,Varun Reddy,Support,active,75000,0,75000,XXXXXX8297,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,TEMP-0007,Nisha Sharma,HR,active,550000,350000,900000,XXXXXX3351,,No,Possible ghost employee + excessive payment,Critical
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1175,Diya Mehta,Engineering,active,110000,0,110000,XXXXXX5135,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1176,Sana Joshi,Engineering,active,85000,0,85000,XXXXXX9562,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1177,Priya Mehta,HR,active,45000,0,45000,XXXXXX4821,,No,Shared bank account cluster,Critical
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1178,Sana Mehta,Sales,active,75000,0,75000,XXXXXX3446,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1179,Aditya Joshi,HR,active,110000,0,110000,XXXXXX6430,,No,None,Low
PAY-2026-08-09,2026-08-01 to 2026-08-31,EMP-1180,Priya Nair,Sales,active,160000,0,160000,XXXXXX6191,,No,None,Low
PAY-2026-08-10,2026-08-01 to 2026-08-31,EMP-1181,Arjun Kumar,Support,active,160000,0,160000,XXXXXX8971,,No,None,Low
PAY-2026-08-10,2026-08-01 to 2026-08-31,EMP-1182,Rahul Sharma,Support,active,140000,0,140000,XXXXXX7750,,No,None,Low
PAY-2026-08-10,2026-08-01 to 2026-08-31,EMP-1183,Karan Iyer,Engineering,active,160000,0,160000,XXXXXX6202,,No,None,Low
PAY-2026-08-10,2026-08-01 to 2026-08-31,EMP-1184,Kabir Gupta,Sales,active,110000,0,110000,XXXXXX6092,,No,None,Low
PAY-2026-08-10,2026-08-01 to 2026-08-31,EMP-1185,Aarav Sharma,Marketing,active,55000,0,55000,XXXXXX5721,,No,None,Low
